iter	Passed	Remaining
0	0	58
1	1	59
2	1	58
3	2	57
4	3	60
5	3	62
6	4	63
7	5	63
8	6	63
9	7	64
10	7	64
11	8	64
12	9	63
13	10	63
14	11	63
15	11	62
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	19	54
27	20	53
28	21	52
29	22	51
30	23	51
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	44
39	29	44
40	30	43
41	30	41
42	31	41
43	31	40
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	38	30
56	39	29
57	40	28
58	40	28
59	41	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	22
66	44	22
67	45	21
68	45	20
69	46	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	51	11
82	52	10
83	52	10
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
